Alaska Bible College,200 College Rd,Glennallen,AK,99588,www.akbible.edu,62.11107,-145.5383346
Alaska Christian College,35109 Royal Place,Soldotna,AK,99669,www.akcc.org,60.48937300000001,-151.1343725
Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,www.alaskapacific.edu,61.19126600000001,-149.801344
AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,www.avtec.edu,60.1110474,-149.4442297
Career Academy,1415 E Tudor Road,Anchorage,AK,99507-1033,www.alaskacareercollege.edu,61.181439,-149.856909
Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,www.chartercollege.edu,61.1964396,-149.8392925
Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686-0097,www.pwscc.edu,61.1339227,-146.3596522
University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,www.uaa.alaska.edu,61.19078219999999,-149.8182731
University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,www.uaf.edu,64.8588754,-147.8231558
University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,www.uas.alaska.edu,58.383,-134.639
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,www.aamu.edu,34.785058,-86.57328299999999
Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,www.ascc.edu,31.4803915,-87.332821
Alabama State College of Barber Styling,753 Main Street,Gardendale,AL,35071,www.ascbs.edu,33.643516,-86.809873
Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,www.alasu.edu,32.366287,-86.296902
Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,32.3626934,-86.1740338
Athens State University,300 N Beaty St,Athens,AL,35611,www.athens.edu,34.8059635,-86.9675331
Auburn University,Auburn  Alabama,Auburn University,AL,36849,www.auburn.edu,32.5933574,-85.4951663
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,www.aum.edu,32.3666571,-86.17479010000001
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,www.bscc.edu,33.8359101,-87.2649445
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,www.bsc.edu,33.5162595,-86.8509948
Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,www.bishop.edu,30.695495,-88.05565299999999
